EpochGMT,Weekday,Holiday name
1469664000,Thursday,World Hepatitis Day
1469836800,Saturday,International Day of Friendship
1470009600,Monday,Colorado Day
1470268800,Thursday,U.S. Coast Guard Birthday
1470528000,Sunday,Purple Heart Day
1470614400,Monday,Victory Day
1470700800,Tuesday,International Day of the World's Indigenous People
1470960000,Friday,International Youth Day
1471132800,Sunday,Tisha B'Av
1471219200,Monday,Assumption of Mary
1471305600,Tuesday,Bennington Battle Day
1471564800,Friday,World Humanitarian Day
1471564800,Friday,Statehood Day in Hawaii
1471564800,Friday,National Aviation Day
1471737600,Sunday,Senior Citizens Day
1471910400,Tuesday,International Day for the Remembrance of the Slave Trade and its Abolition
1472169600,Friday,Women's Equality Day
1472256000,Saturday,Lyndon Baines Johnson Day
1472428800,Monday,International Day against Nuclear Tests
1472515200,Tuesday,International Day of the Victims of Enforced Disappearances
1472601600,Wednesday,International Overdose Awareness Day
1472947200,Sunday,World Sexual Health Day
1473033600,Monday,International Day of Charity
1473033600,Monday,Labor Day
1473292800,Thursday,International Literacy Day
1473379200,Friday,California Admission Day
1473465600,Saturday,World Suicide Prevention Day
1473465600,Saturday,Carl Garner Federal Lands Cleanup Day
1473552000,Sunday,Patriot Day
1473552000,Sunday,National Grandparents Day
1473638400,Monday,International Day for South-South Cooperation
1473638400,Monday,International Programmers' Day
1473724800,Tuesday,Eid al-Adha
1473897600,Thursday,International Day of Democracy
1473984000,Friday,International Day for the Preservation of the Ozone Layer
1473984000,Friday,Constitution Day and Citizenship Day observed
1473984000,Friday,National POW/MIA Recognition Day
1474070400,Saturday,Constitution Day and Citizenship Day
1474156800,Sunday,Air Force Birthday
1474416000,Wednesday,International Day of Peace
1474502400,Thursday,September equinox
1474502400,Thursday,World Maritime Day
1474502400,Thursday,Emancipation Day
1474588800,Friday,International Celebrate Bisexuality Day
1474588800,Friday,Native Americans' Day
1474761600,Sunday,Gold Star Mother's Day
1474848000,Monday,World Day against Trafficking Persons
1474848000,Monday,International Day for the Total Elimination of Nuclear Weapons
1474934400,Tuesday,World Tourism Day
1475020800,Wednesday,World Rabies Day
1475107200,Thursday,World Heart Day
1475280000,Saturday,International Day of Older Persons
1475280000,Saturday,World Vegetarian Day
1475366400,Sunday,International Day of Non-Violence
1475452800,Monday,Rosh Hashana
1475452800,Monday,Rosh Hashana
